code_prefix,axis,concept_iri,level,scheme,code_title,rationale,confidence,status
G03F7/20,process,https://w3id.org/sdkb/data/process/lithography,process,CPC-2026.01,Exposure; Apparatus therefor (photographic printing apparatus for making copies G03B 27/00),노광 자체 — Lithography 정의(pattern transfer using photoresist and exposure)와 직결,high,author-defined
G03F7/70,process,https://w3id.org/sdkb/data/process/lithography,process,CPC-2026.01,{Microphotolithographic exposure; Apparatus therefor (photo-masks G03F 1/00)},스캐너/스테퍼 노광 장비,high,author-defined
G03F1,process,https://w3id.org/sdkb/data/process/lithography,process,CPC-2026.01,"Originals for photomechanical production of textured or patterned surfaces, e.g., masks, photo-masks, reticles; Mask blanks or pellicles therefor; Containers specially adapted therefor; Preparation thereof",마스크/레티클 — 노광의 구성요소이나 공정 자체는 아님,medium,author-defined
H01L21/027,process,https://w3id.org/sdkb/data/process/lithography,process,CPC-2026.01,Making masks on semiconductor bodies for further photolithographic processing not provided for in group H01L 21/18 or H01L 21/34 {(photographic masks or originals per se G03F 1/00; registration or positioning of photographic masks or originals G03F 9/00; photographic cameras G03B; control of position G05D 3/00)},반도체 기판 상 포토리소 공정,high,author-defined
G03F7/16,process,https://w3id.org/sdkb/data/subprocess/photoresist_coat_develop,subprocess,CPC-2026.01,Coating processes; Apparatus therefor (applying coatings to base materials in general B05; applying photosensitive compositions to base for photographic purposes G03C 1/74),감광막 도포 — Coat/Develop 정의와 직결,high,author-defined
G03F7/30,process,https://w3id.org/sdkb/data/subprocess/photoresist_coat_develop,subprocess,CPC-2026.01,Imagewise removal using liquid means,현상 공정,high,author-defined
G03F7/32,process,https://w3id.org/sdkb/data/subprocess/photoresist_coat_develop,subprocess,CPC-2026.01,"Liquid compositions therefor, e.g. developers",현상액,medium,author-defined
G03F9,process,https://w3id.org/sdkb/data/subprocess/overlay_control,subprocess,CPC-2026.01,"Registration or positioning of originals, masks, frames, photographic sheets or textured or patterned surfaces, e.g. automatically (G03F 7/22 takes precedence; preparation of photographic masks G03F 1/00; within photographic printing apparatus for making copies G03B 27/00)",정렬(align) — Overlay Control 정의(alignment/APC)와 직결,high,author-defined
G03F7/70633,process,https://w3id.org/sdkb/data/subprocess/overlay_control,subprocess,CPC-2026.01,"{Overlay, i.e. relative alignment between patterns printed by separate exposures in different layers, or in the same layer in multiple exposures or stitching}",오버레이 계측,high,author-defined
H01L21/306,process,https://w3id.org/sdkb/data/process/etch,process,CPC-2026.01,"Chemical or electrical treatment, e.g. electrolytic etching (to form insulating layers H01L 21/31)",식각 일반 — 건식/습식 미분화이므로 상위 Process 로 둔다,high,author-defined
H01L21/311,process,https://w3id.org/sdkb/data/process/etch,process,CPC-2026.01,Etching the insulating layers {by chemical or physical means (H01L 21/31058 takes precedence)},절연막 식각. Hardmask(SiN/SiO2)일 수 있으나 IPC 만으로는 단정 불가 → 상위로,medium,author-defined
H01L21/3213,process,https://w3id.org/sdkb/data/process/etch,process,CPC-2026.01,"Physical or chemical etching of the layers, e.g. to produce a patterned layer from a pre-deposited extensive layer",도전막 식각,high,author-defined
H01L21/3065,process,https://w3id.org/sdkb/data/subprocess/plasma_etch,subprocess,CPC-2026.01,Plasma etching; Reactive-ion etching,플라즈마 건식 식각 — Plasma Etch 정의(RIE/ICP)와 직결,high,author-defined
H01J37/32,process,https://w3id.org/sdkb/data/subprocess/plasma_etch,subprocess,CPC-2026.01,Gas-filled discharge tubes (heating by discharge H05B),플라즈마 장비. 식각뿐 아니라 플라즈마 증착에도 쓰임 → 오분류 위험 있음,medium,author-defined
C09K13,process,https://w3id.org/sdkb/data/subprocess/wet_etch,subprocess,CPC-2026.01,"Etching, surface-brightening or pickling compositions (for glass C03C 15/00, {C03C 25/66; for mortars, concrete, artificial or natural stone or ceramics C04B 41/5338}; for metallic material C23F, C23G 1/00, C25F 1/00; {for semi-conductors H10P 52/40})",식각액 조성물 — Wet Etch 정의(liquid chemistries)와 직결,high,author-defined
H01L21/033,process,https://w3id.org/sdkb/data/subprocess/hardmask_etch,subprocess,CPC-2026.01,comprising inorganic layers,하드마스크,high,author-defined
H01L21/205,process,https://w3id.org/sdkb/data/process/deposition,process,IPC,Deposition of semiconductor materials from gases (epitaxy),기상 증착/에피,high,author-defined
H01L21/285,process,https://w3id.org/sdkb/data/process/deposition,process,CPC-2026.01,"from a gas or vapour, e.g. condensation",전극 박막 증착,high,author-defined
C23C16,process,https://w3id.org/sdkb/data/subprocess/cvd,subprocess,CPC-2026.01,"Chemical coating by decomposition of gaseous compounds, without leaving reaction products of surface material in the coating, i.e. chemical vapour deposition [CVD] processes (reactive sputtering or vacuum evaporation C23C 14/00)",CVD,high,author-defined
C23C16/455,process,https://w3id.org/sdkb/data/subprocess/ald,subprocess,CPC-2026.01,characterised by the method used for introducing gases into reaction chamber or for modifying gas flows in reaction chamber,ALD 는 C23C16/455 계열에 배치됨. 상위 C23C16(CVD)보다 긴 접두어이므로 우선 매칭,medium,author-defined
C23C14,process,https://w3id.org/sdkb/data/subprocess/pvd,subprocess,CPC-2026.01,"Coating by vacuum evaporation, by sputtering or by ion implantation of the coating forming material",PVD(스퍼터),high,author-defined
B24B37,process,https://w3id.org/sdkb/data/process/cmp,process,IPC,Lapping machines / polishing machines,CMP 장비,high,author-defined
C09G1/02,process,https://w3id.org/sdkb/data/process/cmp,process,IPC,Polishing compositions,CMP 슬러리,high,author-defined
H01L21/304,process,https://w3id.org/sdkb/data/process/cmp,process,CPC-2026.01,"Mechanical treatment, e.g. grinding, polishing, cutting {(H01L 21/30625 takes precedence)}",기계적 연마. 백그라인딩 등 CMP 가 아닌 것도 포함 → 오분류 위험,medium,author-defined
H01L21/3105,process,https://w3id.org/sdkb/data/process/cmp,process,CPC-2026.01,After-treatment,평탄화,high,author-defined
H01L21/31053,process,https://w3id.org/sdkb/data/subprocess/cmp_oxide,subprocess,CPC-2026.01,{involving a dielectric removal step},산화막 CMP,high,author-defined
H01L21/3212,process,https://w3id.org/sdkb/data/subprocess/cmp_metal,subprocess,CPC-2026.01,{by chemical mechanical polishing [CMP]},금속막 CMP,high,author-defined
H01L21/02052,process,https://w3id.org/sdkb/data/process/clean,process,CPC-2026.01,{Wet cleaning only (H01L 21/02085 takes precedence)},세정,high,author-defined
B08B,process,https://w3id.org/sdkb/data/process/clean,process,IPC,Cleaning in general,일반 세정 — 반도체 외 분야도 포함하므로 출원인 필터와 병용해야 함,medium,author-defined
C11D,process,https://w3id.org/sdkb/data/process/clean,process,IPC,Detergent compositions,세정액 조성물. 생활화학 특허가 다수 → 오분류 위험 큼,medium,author-defined
H01L21/265,process,https://w3id.org/sdkb/data/process/implant,process,CPC-2026.01,producing ion implantation,이온주입 — Ion Implantation 정의와 직결,high,author-defined
H01L21/26,process,https://w3id.org/sdkb/data/process/implant,process,CPC-2026.01,Bombardment with radiation {(H01L 21/3105 takes precedence)},조사 일반. /265(주입) /268(어닐) 이 더 긴 접두어로 우선함,medium,author-defined
H01L21/22,process,https://w3id.org/sdkb/data/process/diffusion,process,CPC-2026.01,"Diffusion of impurity materials, e.g. doping materials, electrode materials, into or out of a semiconductor body, or between semiconductor regions; {Interactions between two or more impurities; Redistribution of impurities}",불순물 확산,high,author-defined
H01L21/324,process,https://w3id.org/sdkb/data/process/diffusion,process,CPC-2026.01,"Thermal treatment for modifying the properties of semiconductor bodies, e.g. annealing, sintering (H01L 21/20 - H01L 21/288 and H01L 21/302 - H01L 21/322 take precedence)",열처리·어닐 — Diffusion/Anneal 정의와 직결,high,author-defined
H01L21/268,process,https://w3id.org/sdkb/data/process/diffusion,process,CPC-2026.01,"using electromagnetic radiation, e.g. laser radiation",레이저 어닐,medium,author-defined
H01L22,process,https://w3id.org/sdkb/data/process/metrology,process,CPC-2026.01,"{Testing or measuring during manufacture or treatment; Reliability measurements, i.e. testing of parts without further processing to modify the parts as such; Structural arrangements therefor}",제조 중 검사·계측 — Metrology/Inspection 정의와 직결,high,author-defined
